coding_score,aptitude_score,interview_score,resume_score,projects_count,skills_count,readiness
31,25,24,91,4,12,1
83,28,57,84,6,10,1
74,41,56,37,1,17,1
58,92,41,87,6,14,1
57,59,30,25,9,1,0
90,78,23,43,1,7,1
31,56,20,77,3,5,0
77,38,59,44,6,10,1
40,53,27,79,6,5,1
32,31,97,90,6,17,1
65,83,39,25,5,6,1
99,38,72,21,6,9,1
80,53,74,96,6,3,1
82,99,60,62,0,16,1
79,69,91,61,7,16,1
84,59,28,57,4,14,1
64,66,38,55,0,6,0
34,84,40,75,4,1,0
88,44,30,66,4,13,1
59,73,43,33,0,8,1
63,91,45,70,9,17,1
53,68,81,74,2,12,1
38,58,44,29,3,10,0
95,36,91,50,4,17,1
84,43,82,84,8,14,1
73,96,93,70,7,8,1
55,66,28,31,7,1,1
87,47,99,23,2,2,0
66,56,69,67,8,8,1
58,68,99,57,8,10,1
59,65,48,97,4,1,0
42,78,97,62,5,3,1
32,44,67,95,0,12,1
67,74,25,37,7,13,1
92,58,53,56,9,1,1
29,96,31,31,4,9,1
90,37,96,66,5,2,1
87,36,44,35,4,13,1
46,60,38,59,0,15,0
73,63,64,47,6,15,0
37,77,54,35,7,11,1
82,55,27,27,9,11,1
78,94,86,61,9,16,1
51,61,88,96,4,11,1
30,34,80,36,9,8,1
98,34,69,52,5,13,1
58,98,52,38,6,11,1
92,35,63,85,6,15,1
76,97,62,53,9,9,1
84,46,33,98,7,15,1
82,32,26,39,1,1,0
39,48,40,26,0,1,0
52,71,56,67,4,2,1
60,57,32,72,5,10,1
62,84,28,100,6,13,1
28,71,89,90,4,4,1
66,55,50,91,5,3,1
36,73,67,71,9,15,1
81,98,62,49,3,13,1
76,56,79,54,4,12,1
95,36,79,30,5,9,1
81,56,43,54,4,8,1
52,88,88,49,9,1,1
98,41,50,22,9,4,1
56,97,87,36,5,16,1
49,69,52,63,4,6,0
93,70,28,49,5,12,1
53,49,81,100,1,12,1
30,94,22,58,4,6,0
60,27,82,97,2,4,0
85,47,23,73,1,12,1
39,56,36,23,0,2,0
60,61,68,36,5,9,1
34,61,96,77,0,16,1
77,36,53,64,6,13,1
61,42,29,44,4,13,1
50,32,38,62,3,2,0
42,68,92,93,7,4,1
67,51,78,51,5,5,1
75,67,28,23,7,5,1
96,69,51,45,7,4,1
58,78,41,95,0,17,1
37,66,34,81,2,3,0
88,74,88,87,5,13,1
72,69,70,93,9,10,1
78,74,34,29,1,11,0
32,71,72,42,1,4,0
48,49,53,24,9,6,1
83,43,24,20,9,11,1
88,84,56,87,1,6,0
58,51,35,95,4,12,0
86,66,39,32,6,1,1
88,39,91,78,1,2,1
54,57,77,63,3,13,1
93,65,30,25,3,11,0
46,72,88,94,6,1,0
43,65,66,90,3,16,1
76,52,90,65,4,1,1
73,98,80,77,2,17,1
35,63,47,52,7,13,1
88,86,63,84,1,17,1
40,80,62,56,2,17,0
86,67,78,100,2,6,1
25,92,40,25,9,13,0
85,34,46,33,9,4,0
84,95,39,98,5,9,1
84,89,43,43,1,5,0
75,63,33,45,7,9,0
60,80,22,84,4,15,0
78,64,96,35,8,8,1
46,45,26,61,3,2,0
84,85,91,43,9,6,1
67,43,20,36,8,14,0
59,48,82,98,2,9,0
63,64,46,36,7,10,1
68,88,61,27,2,8,1
27,54,42,74,3,5,0
35,62,59,90,2,11,1
43,28,56,30,6,11,1
33,33,62,77,2,16,0
58,29,51,63,6,11,1
75,30,63,87,5,17,1
74,91,86,30,7,15,1
60,88,55,99,9,2,1
89,87,49,70,0,7,0
67,29,30,88,9,7,1
31,30,49,49,1,1,0
83,46,30,96,5,4,0
68,67,34,70,3,13,1
73,50,97,30,6,6,1
67,62,27,94,7,3,1
67,38,59,84,8,5,1
31,80,87,44,4,5,1
67,48,97,64,9,3,1
85,30,31,51,3,2,0
48,81,33,64,2,13,0
70,93,50,98,3,15,1
27,26,64,92,5,9,0
51,58,97,37,6,11,1
58,87,36,98,8,16,1
99,78,33,55,2,15,1
41,90,40,77,3,1,1
46,56,90,81,9,17,1
56,53,22,59,4,2,0
100,78,50,56,2,1,1
89,36,29,56,9,7,1
27,43,32,89,4,13,0
42,70,94,51,9,2,0
87,75,20,42,9,5,0
29,34,46,49,9,5,0
90,63,94,35,5,7,1
46,52,69,51,7,17,1
94,63,25,29,9,6,1
47,97,57,27,2,4,0
58,30,98,78,0,3,0
75,100,52,26,3,4,1
34,59,62,66,6,3,0
67,83,63,83,5,10,1
63,57,73,78,0,8,1
84,48,35,56,5,9,0
100,83,88,35,1,15,1
75,77,100,95,5,10,1
56,35,31,87,5,3,1
55,78,86,69,6,7,1
56,82,86,27,4,6,1
86,54,80,22,4,15,1
49,95,50,45,6,6,1
37,73,57,32,7,3,1
50,50,87,89,8,13,1
26,25,32,36,3,8,0
33,76,87,42,4,2,0
31,40,94,99,3,12,1
83,82,75,86,5,4,1
79,64,47,37,1,15,1
77,60,65,51,4,15,1
60,37,24,61,1,7,0
79,79,95,73,5,10,1
37,37,47,95,8,10,1
93,56,24,90,9,12,1
63,88,84,99,4,2,1
96,94,73,23,0,6,1
36,100,70,39,2,3,0
62,97,24,65,1,12,1
77,67,80,23,7,2,1
62,40,71,48,9,9,1
58,88,84,32,5,13,1
37,85,87,95,1,17,1
53,100,37,25,0,5,0
43,74,37,32,9,1,1
47,35,94,35,3,13,0
76,63,63,32,1,1,1
72,59,55,66,1,2,0
71,89,43,49,2,17,1
52,54,71,93,6,15,1
97,49,81,41,8,13,1
31,31,20,63,2,15,1
51,88,64,73,6,2,0
33,82,100,70,0,2,1
50,28,42,84,0,6,0
98,57,42,36,0,1,0
52,61,91,61,9,16,1
94,60,25,84,5,1,0
62,94,52,89,8,10,1
78,36,57,70,0,15,1
59,48,84,72,0,13,1
45,38,30,89,8,4,1
83,43,55,70,1,8,0
98,93,32,96,1,10,1
45,96,83,30,5,14,1
84,28,71,48,6,8,1
44,73,60,29,2,5,0
79,42,51,27,4,14,1
84,39,32,58,6,16,1
59,47,94,38,4,9,1
81,39,72,52,3,1,0
45,62,45,55,0,9,0
31,100,53,70,4,16,1
32,69,78,96,8,17,1
58,79,78,88,6,7,1
93,62,57,50,8,3,1
34,26,44,46,1,10,0
59,31,73,82,0,15,1
78,45,73,30,5,17,1
40,43,68,63,1,1,0
79,88,25,54,5,5,1
48,89,58,34,9,9,1
86,89,69,69,3,2,1
69,73,96,45,5,16,1
66,67,62,35,6,2,1
38,74,47,72,1,12,1
60,55,65,34,8,16,1
90,75,34,74,2,12,0
26,85,27,33,8,13,1
82,82,74,55,6,5,1
62,71,99,85,1,15,1
79,29,88,38,7,8,1
75,80,67,82,1,2,0
57,52,23,78,5,7,0
48,81,100,93,9,6,1
72,66,56,33,9,9,1
35,91,43,77,8,5,1
69,50,92,95,4,8,0
32,95,80,81,5,8,1
74,89,80,35,3,6,1
72,50,42,86,9,12,1
31,61,100,28,4,6,1
82,65,56,67,7,14,1
56,83,63,60,3,5,1
84,77,80,63,7,15,1
28,89,73,62,2,7,0
38,53,33,22,7,1,0
62,63,44,61,0,3,1
39,57,49,95,1,14,1
50,94,96,55,3,15,1
75,48,77,42,4,4,1
35,69,49,100,7,11,1
76,34,79,28,3,10,0
32,89,79,59,0,3,1
38,54,51,61,3,8,1
69,50,52,58,4,12,0
85,69,92,94,5,17,1
37,62,65,54,6,15,0
47,89,32,98,2,2,0
95,65,78,25,6,5,0
100,64,67,79,6,8,1
69,32,61,68,7,3,0
58,26,78,39,5,10,1
51,55,93,38,8,1,1
71,100,46,78,2,2,0
69,94,53,71,7,1,1
47,72,35,69,0,6,0
26,72,72,24,1,13,1
36,54,52,68,8,4,1
97,38,47,99,4,17,1
56,25,76,21,6,5,0
61,50,53,57,6,1,0
60,49,57,60,6,6,1
84,39,55,92,2,13,1
29,44,40,42,1,2,0
31,26,30,58,0,2,0
45,71,87,78,8,15,1
61,95,27,24,2,11,0
76,77,46,84,5,6,1
62,59,74,86,4,13,1
58,56,30,78,1,15,0
96,48,73,72,4,7,1
37,35,79,80,0,10,0
68,70,73,83,1,1,1
66,68,44,93,1,6,1
60,25,21,54,8,11,1
86,56,91,56,5,4,1
45,46,46,71,9,17,1
97,37,85,35,4,17,1
50,78,36,89,2,5,1
66,64,33,82,6,7,1
64,73,83,71,9,4,1
89,79,96,44,5,9,1
58,99,89,48,0,3,0
46,86,80,55,3,7,1
26,72,39,73,9,10,1
52,91,93,83,5,11,1
87,61,74,74,9,11,1
25,99,33,95,5,4,1
93,82,30,97,0,14,1
66,74,90,77,8,12,1
35,93,42,50,7,13,1
47,64,82,68,7,8,1
67,79,31,54,9,16,1
48,46,42,70,1,7,0
33,98,42,85,9,14,1
75,72,42,49,2,4,1
76,84,74,60,9,5,1
34,60,94,23,1,9,1
46,90,93,79,5,10,1
43,30,80,59,7,13,1
75,33,36,57,0,6,0
80,63,97,63,0,15,1
80,80,63,37,8,6,1
96,86,64,68,0,10,1
83,58,76,80,6,16,1
49,74,82,48,9,10,1
33,67,97,30,6,12,1
71,98,67,51,4,16,1
94,74,69,36,4,17,1
99,56,80,50,6,9,1
42,98,40,70,5,8,0
42,33,44,29,5,4,0
27,99,70,80,1,10,1
35,36,25,38,6,16,1
67,46,45,92,7,9,1
66,87,78,79,7,6,1
53,80,99,42,0,2,1
48,98,62,65,7,7,1
88,81,52,28,7,5,0
59,73,55,28,1,17,0
86,51,75,97,8,9,1
98,25,64,84,5,3,1
49,34,21,32,4,2,0
40,47,63,42,7,15,1
97,28,52,36,5,16,1
73,63,76,52,5,13,1
47,84,90,43,3,3,1
72,98,97,46,9,2,1
64,62,69,62,9,4,1
93,91,49,35,1,13,1
44,99,55,91,7,14,1
100,90,34,78,0,15,1
96,60,95,81,3,2,0
38,49,88,33,9,3,1
37,99,89,77,1,16,1
65,43,46,87,3,16,1
28,56,46,34,2,13,0
47,30,89,80,7,2,1
58,85,64,48,4,2,1
98,74,77,83,5,1,1
100,31,59,58,9,12,1
36,41,55,84,5,15,1
92,67,71,31,7,11,1
31,66,85,51,0,5,1
81,85,47,42,2,13,1
89,45,85,40,9,2,1
92,95,39,44,8,15,1
41,58,52,50,6,16,1
92,87,93,30,3,13,1
33,43,97,77,1,15,0
64,27,94,64,8,10,0
60,29,45,87,7,8,0
49,53,88,77,2,6,1
26,97,95,32,5,16,1
83,28,99,25,6,12,1
50,53,21,54,4,4,0
75,33,80,58,9,17,1
56,95,100,39,1,2,0
53,76,81,83,2,10,1
92,82,38,67,0,4,0
32,79,81,80,6,12,1
80,74,28,28,6,8,1
81,83,58,86,9,8,1
53,25,70,36,5,12,1
44,90,56,56,1,13,0
25,81,76,55,4,7,0
96,81,39,86,0,17,1
97,54,69,42,6,9,1
43,85,72,39,6,3,1
27,54,71,47,8,1,0
34,28,43,49,3,4,0
30,93,44,34,3,12,0
88,42,40,34,0,10,0
92,32,57,38,4,6,0
36,72,67,57,4,9,1
81,42,49,47,7,15,1
38,90,53,51,7,10,1
52,58,43,78,1,1,0
70,25,37,39,2,1,0
79,97,73,93,5,9,1
91,64,86,80,3,7,1
28,44,43,34,0,15,0
39,76,89,45,8,10,1
46,65,66,34,7,13,1
48,27,33,42,5,10,0
100,82,49,49,3,6,0
84,55,20,30,8,12,1
49,78,23,21,0,11,1
98,93,47,55,4,13,1
62,71,56,76,8,4,1
63,76,84,44,9,11,1
57,44,30,89,2,5,1
35,43,87,49,6,14,1
96,56,38,92,1,14,1
26,89,31,39,1,11,1
38,64,76,63,3,17,1
42,51,82,81,8,10,1
46,84,68,24,6,1,0
35,89,29,95,4,11,1
26,93,29,49,2,14,0
76,47,51,60,1,2,0
98,78,56,70,2,2,1
34,69,100,72,1,5,0
47,59,43,21,1,15,1
63,55,35,90,6,9,1
95,33,96,70,1,17,1
77,45,32,100,0,15,1
83,66,22,58,5,10,1
69,92,54,69,2,12,1
56,90,52,55,4,6,1
40,39,70,92,1,2,0
90,76,91,87,2,7,1
86,31,95,93,4,11,1
26,76,43,60,6,4,1
79,50,99,84,4,4,1
31,59,71,49,5,1,0
81,79,25,57,5,13,1
87,57,96,81,2,16,1
34,86,31,26,2,15,0
57,65,67,77,4,7,0
34,100,84,21,0,11,1
68,73,40,67,6,17,1
95,47,41,58,6,11,0
31,83,58,57,3,6,0
55,56,91,60,3,6,0
98,65,38,59,3,13,1
47,35,73,52,6,8,1
35,34,56,56,7,15,0
62,68,29,66,1,15,1
63,39,77,81,4,1,1
75,100,87,64,0,13,1
48,90,66,72,4,7,1
97,78,34,87,2,9,1
64,80,32,100,3,5,1
46,70,54,28,4,7,0
97,29,61,77,3,6,1
95,54,64,38,3,1,1
62,62,39,35,7,14,1
26,94,60,84,8,3,1
70,41,43,25,0,7,0
67,62,75,88,3,4,1
36,51,84,82,8,3,1
73,35,72,100,5,7,1
88,32,20,74,2,16,1
33,52,100,90,5,17,1
79,31,21,29,1,7,0
35,30,100,92,0,9,0
81,51,22,32,6,17,0
56,40,61,45,5,4,0
25,67,28,30,7,17,1
98,26,27,52,3,2,0
37,47,75,80,8,4,1
70,59,78,41,4,6,1
38,98,29,86,7,1,0
95,73,99,69,1,14,1
81,91,45,70,0,15,1
86,51,45,96,7,7,1
57,59,44,54,8,15,1
60,56,57,47,9,14,1
73,92,34,100,3,14,1
84,97,54,65,0,14,1
89,98,37,69,9,10,1
26,82,24,44,6,2,0
75,63,49,37,2,16,1
33,66,74,33,7,11,1
46,99,81,38,9,16,1
88,46,48,35,2,17,0
44,51,46,80,7,4,1
85,93,83,24,7,7,1
60,54,75,70,5,4,1
42,42,87,96,6,1,0
50,67,93,82,2,17,1
65,49,86,52,9,16,1
83,92,95,24,9,16,1
71,94,53,87,9,16,1
95,48,51,20,7,12,1
90,65,46,75,0,9,1
82,99,39,74,3,17,1
70,81,80,35,4,10,1
47,41,77,79,9,11,1
56,69,84,34,5,4,1
34,72,33,38,5,13,0
53,74,59,85,1,14,0
95,26,37,99,7,12,1
57,47,92,41,3,9,0
33,89,41,94,0,4,1
74,43,31,93,9,1,0
98,47,66,82,1,11,1
90,49,91,31,0,12,1
45,38,94,44,0,14,1
59,36,27,74,4,17,0
65,51,46,100,1,9,0
43,91,32,85,8,15,1
45,25,44,54,5,13,0
42,46,63,39,3,5,1
100,29,42,97,0,15,1
81,67,25,42,4,1,0
88,44,61,47,1,11,0
87,85,24,98,9,16,1
97,69,38,65,2,12,0
33,84,20,41,4,16,0
92,73,27,20,0,1,0
30,58,55,54,1,10,1
61,90,88,99,2,14,1
70,61,82,55,0,11,0
52,97,28,76,7,15,1
36,100,22,40,9,8,1
39,69,47,82,9,12,1
87,76,72,82,2,8,1
49,44,80,69,7,15,1
48,86,86,82,5,3,1
95,76,47,66,0,5,1
35,93,33,50,0,2,0
94,45,22,79,5,12,1
94,84,31,87,4,4,1
70,60,25,88,0,6,0
37,39,89,37,9,15,1
36,38,41,74,7,7,1
46,67,86,20,5,3,0
68,49,64,66,9,1,1
36,32,63,66,9,4,1
59,57,56,49,9,16,1
33,74,86,100,2,10,1
66,49,23,91,8,17,1
26,97,27,23,5,4,1
78,84,54,36,7,6,1
29,63,51,36,8,3,0
39,96,64,92,1,7,0
38,57,79,62,4,10,1
88,35,67,79,1,14,1
29,27,40,85,2,7,0
57,96,46,82,4,14,1
69,97,80,27,8,11,0
64,81,36,31,8,5,0
76,32,60,52,3,16,0
86,47,63,47,3,8,0
54,28,80,80,5,3,0
87,28,77,32,9,17,1
49,43,57,50,9,16,1
99,68,45,39,2,1,1
63,29,49,35,1,16,1
80,99,53,33,7,17,1
91,59,37,35,3,15,0
85,45,70,65,1,5,0
89,64,36,53,0,11,1
65,85,72,55,4,10,1
28,48,80,58,3,11,1
62,28,97,80,5,11,1
38,28,29,89,2,11,0
92,89,81,62,7,9,1
42,33,26,72,6,12,1
42,73,47,79,4,9,1
43,54,34,75,1,1,0
73,84,33,30,5,1,1
68,29,34,99,6,17,1
97,93,23,33,3,16,1
56,78,86,53,2,10,1
46,59,24,72,5,3,0
28,40,52,52,3,14,1
25,99,76,39,4,3,1
53,47,100,94,3,7,1
95,62,89,25,3,6,1
64,54,31,39,7,1,0
92,42,100,100,4,14,1
32,56,72,79,4,9,1
32,36,34,27,6,6,0
88,25,56,81,3,9,1
33,47,94,98,1,1,0
28,33,51,27,8,8,0
55,56,34,53,0,9,0
95,90,90,57,5,6,1
77,37,97,30,2,15,1
32,25,99,36,2,5,0
88,33,97,34,0,3,0
89,63,90,35,9,9,1
85,45,56,52,4,16,1
93,62,35,57,3,7,1
43,27,69,39,7,1,1
99,50,37,43,0,17,0
49,56,58,35,5,8,1
85,57,73,84,4,3,0
69,66,96,37,5,11,1
84,84,43,93,1,6,1
72,60,40,63,9,16,1
73,88,79,85,2,5,1
71,65,20,71,6,10,1
84,44,65,41,7,10,1
81,42,80,68,3,5,1
35,49,64,42,1,9,0
87,70,51,29,2,2,0
65,43,87,40,8,11,1
49,94,50,42,9,13,1
64,61,77,30,9,17,0
98,90,57,21,2,6,0
90,76,22,96,6,5,1
88,50,62,61,1,10,0
60,42,24,52,7,12,1
84,81,95,95,4,17,1
54,50,68,38,7,1,0
77,43,50,52,6,5,0
73,95,59,88,9,5,1
43,61,70,71,4,5,0
45,28,41,52,3,8,0
29,62,43,40,5,15,1
35,60,53,22,1,1,0
57,90,40,26,1,14,1
61,79,81,33,5,11,1
37,39,28,83,8,11,1
56,36,86,71,5,12,1
70,70,48,55,7,2,1
42,28,65,83,1,13,0
50,49,32,33,4,5,1
52,35,51,37,6,9,0
63,26,81,51,3,12,1
52,94,41,94,0,11,1
81,31,30,69,0,6,0
49,25,62,88,9,7,1
57,95,33,40,6,9,1
53,39,45,88,2,1,0
38,87,56,25,2,13,1
77,27,65,38,0,2,0
42,36,71,62,9,8,1
47,33,74,24,1,12,0
85,78,88,89,7,2,0
97,72,25,90,2,17,1
75,61,49,63,3,7,0
94,43,20,44,2,1,1
89,31,20,28,8,12,1
61,68,37,70,0,10,0
83,42,68,63,3,11,1
49,69,92,81,2,13,1
59,77,82,68,2,9,1
65,89,72,30,1,15,0
97,62,83,29,9,7,1
89,25,33,83,3,10,0
62,46,88,32,4,3,1
74,89,92,96,3,11,1
40,65,27,28,9,5,1
86,72,58,78,3,12,1
67,59,87,98,3,14,1
65,37,58,55,3,15,1
83,93,88,24,3,16,1
73,83,95,91,0,3,1
30,100,58,35,6,3,1
46,90,24,62,0,16,0
38,47,47,99,2,7,0
80,44,37,80,2,1,1
27,43,58,23,2,5,0
40,94,67,86,7,15,1
70,67,57,33,5,7,1
77,59,35,80,9,2,0
63,98,44,70,3,13,1
90,70,75,43,9,4,1
94,94,22,54,0,6,1
35,99,37,29,5,1,0
97,31,92,99,7,11,1
71,52,28,39,5,8,1
73,80,53,45,9,15,1
32,86,36,60,3,6,0
72,36,28,74,0,4,0
80,49,54,60,7,3,1
69,66,62,60,0,4,1
31,85,34,67,7,8,1
64,33,26,89,7,2,0
96,70,30,52,8,7,0
79,47,72,87,4,15,1
35,41,89,83,8,14,1
97,64,34,97,1,11,1
97,56,45,93,4,16,1
37,73,47,84,1,14,1
85,49,49,39,7,12,1
55,87,39,82,7,15,1
70,30,24,79,8,3,1
58,90,62,43,7,14,1
84,27,48,74,3,6,0
100,80,47,40,0,13,0
85,51,41,62,9,16,1
95,54,95,84,4,9,1
